time,Barbie,Oppenheimer
2023-07-16T21,20,23
2023-07-16T22,19,21
2023-07-16T23,18,21
2023-07-17T00,18,22
2023-07-17T01,16,21
2023-07-17T02,14,18
2023-07-17T03,12,18
2023-07-17T04,10,15
2023-07-17T05,8,12
2023-07-17T06,9,13
2023-07-17T07,11,15
2023-07-17T08,11,15
2023-07-17T09,12,16
2023-07-17T10,13,16
2023-07-17T11,14,14
2023-07-17T12,15,16
2023-07-17T13,16,16
2023-07-17T14,16,16
2023-07-17T15,16,16
2023-07-17T16,16,16
2023-07-17T17,17,17
2023-07-17T18,18,19
2023-07-17T19,20,23
2023-07-17T20,21,28
2023-07-17T21,22,25
2023-07-17T22,22,25
2023-07-17T23,21,22
2023-07-18T00,21,26
2023-07-18T01,20,26
2023-07-18T02,16,22
2023-07-18T03,14,21
2023-07-18T04,10,17
2023-07-18T05,9,17
2023-07-18T06,9,17
2023-07-18T07,11,19
2023-07-18T08,13,20
2023-07-18T09,13,21
2023-07-18T10,13,20
2023-07-18T11,14,19
2023-07-18T12,15,19
2023-07-18T13,15,19
2023-07-18T14,16,18
2023-07-18T15,17,18
2023-07-18T16,16,18
2023-07-18T17,19,20
2023-07-18T18,20,21
2023-07-18T19,26,28
2023-07-18T20,28,27
2023-07-18T21,27,29
2023-07-18T22,29,28
2023-07-18T23,27,30
2023-07-19T00,26,29
2023-07-19T01,27,30
2023-07-19T02,22,27
2023-07-19T03,20,24
2023-07-19T04,14,20
2023-07-19T05,12,18
2023-07-19T06,16,20
2023-07-19T07,20,23
2023-07-19T08,20,28
2023-07-19T09,21,25
2023-07-19T10,21,24
2023-07-19T11,22,24
2023-07-19T12,24,32
2023-07-19T13,25,34
2023-07-19T14,25,35
2023-07-19T15,24,31
2023-07-19T16,25,30
2023-07-19T17,27,32
2023-07-19T18,34,37
2023-07-19T19,35,39
2023-07-19T20,36,37
2023-07-19T21,39,41
2023-07-19T22,40,42
2023-07-19T23,38,43
2023-07-20T00,37,42
2023-07-20T01,35,40
2023-07-20T02,38,35
2023-07-20T03,35,29
2023-07-20T04,34,25
2023-07-20T05,22,22
2023-07-20T06,20,25
2023-07-20T07,26,30
2023-07-20T08,32,32
2023-07-20T09,32,32
2023-07-20T10,34,31
2023-07-20T11,37,33
2023-07-20T12,41,36
2023-07-20T13,42,36
2023-07-20T14,46,37
2023-07-20T15,44,36
2023-07-20T16,47,39
2023-07-20T17,56,40
2023-07-20T18,65,45
2023-07-20T19,74,53
2023-07-20T20,77,56
2023-07-20T21,86,63
2023-07-20T22,88,73
2023-07-20T23,87,74
2023-07-21T00,88,78
2023-07-21T01,86,81
2023-07-21T02,78,76
2023-07-21T03,68,74
2023-07-21T04,50,61
2023-07-21T05,37,40
2023-07-21T06,41,46
2023-07-21T07,49,59
2023-07-21T08,53,59
2023-07-21T09,55,58
2023-07-21T10,57,58
2023-07-21T11,63,61
2023-07-21T12,65,63
2023-07-21T13,66,62
2023-07-21T14,67,65
2023-07-21T15,69,65
2023-07-21T16,80,70
2023-07-21T17,82,76
2023-07-21T18,90,84
2023-07-21T19,93,87
2023-07-21T20,95,80
2023-07-21T21,95,86
2023-07-21T22,97,92
2023-07-21T23,97,100
2023-07-22T00,94,97
2023-07-22T01,92,100
2023-07-22T02,80,94
2023-07-22T03,64,81
2023-07-22T04,51,63
2023-07-22T05,39,52
2023-07-22T06,39,49
2023-07-22T07,45,55
2023-07-22T08,59,64
2023-07-22T09,63,66
2023-07-22T10,66,70
2023-07-22T11,72,69
2023-07-22T12,73,74
2023-07-22T13,75,74
2023-07-22T14,75,75
2023-07-22T15,75,81
2023-07-22T16,76,82
2023-07-22T17,77,79
2023-07-22T18,86,88
2023-07-22T19,85,94
2023-07-22T20,87,86
2023-07-22T21,85,84
2023-07-22T22,88,94
2023-07-22T23,84,92
2023-07-23T00,88,95
2023-07-23T01,78,92
2023-07-23T02,66,91
2023-07-23T03,62,82
2023-07-23T04,50,68
2023-07-23T05,38,58
2023-07-23T06,42,49
2023-07-23T07,46,56
2023-07-23T08,52,64
2023-07-23T09,54,61
2023-07-23T10,61,63
2023-07-23T11,62,71
2023-07-23T12,68,72
2023-07-23T13,67,71
2023-07-23T14,67,69
2023-07-23T15,78,71
2023-07-23T16,71,75
2023-07-23T17,71,76
2023-07-23T18,79,84
2023-07-23T19,79,82
2023-07-23T20,75,82